"name","country","pop"
"Moscow","Russia","10381222"
"London","United Kingdom","8961989"
"Saint Petersburg","Russia","5028000"
"Berlin","Germany","3426354"
"Madrid","Spain","3255944"
"Kyiv","Ukraine","2797553"
"Rome","Italy","2318895"
"Paris","France","2138551"
"Bucharest","Romania","1877155"
"Minsk","Belarus","1742124"
"Budapest","Hungary","1741041"
"Hamburg","Germany","1739117"
"Warsaw","Poland","1702139"
"Vienna","Austria","1691468"
"Barcelona","Spain","1621537"
"Stockholm","Sweden","1515017"
"Kharkiv","Ukraine","1430885"
"Novosibirsk","Russia","1419007"
"Yekaterinburg","Russia","1349772"
"Nizhniy Novgorod","Russia","1284164"
"Belgrade","Serbia","1273651"
"Munich","Germany","1260391"
"Milan","Italy","1236837"
"Prague","Czech Republic","1165581"
"Copenhagen","Denmark","1153615"
"Sofia","Bulgaria","1152556"
"Samara","Russia","1134730"
"Omsk","Russia","1129281"
"Kazan","Russia","1104738"
"Rostov-na-Donu","Russia","1074482"
"Chelyabinsk","Russia","1062919"
"Ufa","Russia","1033338"
"Donetsk","Ukraine","1024700"
"Dublin","Ireland","1024027"
"Brussels","Belgium","1019022"
"Odessa","Ukraine","1013159"
"Volgograd","Russia","1011417"
"Dnipro","Ukraine","998103"
"Birmingham","United Kingdom","984333"
"Perm","Russia","982419"
"Koeln","Germany","963395"
"Naples","Italy","959470"
"Krasnoyarsk","Russia","927200"
"Turin","Italy","870456"
"Liverpool","United Kingdom","864122"
"Saratov","Russia","863725"
"Voronezh","Russia","848752"
"Valencia","Spain","814208"
"Marseille","France","794811"
"Lodz","Poland","768755"
"Krakow","Poland","755050"
"Riga","Latvia","742572"
"Amsterdam","Netherlands","741636"
"Zaporizhzhya","Ukraine","738728"
"Lviv","Ukraine","717803"
"Sevilla","Spain","703206"
"Tolyatti","Russia","702879"
"Zagreb","Croatia","698966"
"Sarajevo","Bosnia and Herzegovina","696731"
"Sheffield","United Kingdom","685368"
"Zaragoza","Spain","674317"
"Athens","Greece","664046"
"Frankfurt am Main","Germany","650000"
"Krasnodar","Russia","649851"
"Palermo","Italy","648260"
"Ulyanovsk","Russia","640680"
"Chisinau","Moldova","635994"
"Wroclaw","Poland","634893"
"Izhevsk","Russia","631038"
"Kryvyy Rih","Ukraine","624579"
"Bristol","United Kingdom","617280"
"Yaroslavl","Russia","606730"
"Barnaul","Russia","599579"
"Rotterdam","Netherlands","598199"
"Essen","Germany","593085"
"Glasgow","United Kingdom","591620"
"Stuttgart","Germany","589793"
"Dortmund","Germany","588462"
"Vladivostok","Russia","587022"
"Irkutsk","Russia","586695"
"Genoa","Italy","580223"
"Oslo","Norway","580000"
"Khabarovsk","Russia","579000"
"Khabarovsk Vtoroy","Russia","578303"
"Duesseldorf","Germany","573057"
"Goeteborg","Sweden","572799"
"Poznan","Poland","570352"
"Malaga","Spain","568305"
"Helsinki","Finland","558457"
"Orenburg","Russia","550204"
"Bremen","Germany","546501"
"Vilnius","Lithuania","542366"
"Novokuznetsk","Russia","539616"
"Ryazan'","Russia","520173"
"Tyumen","Russia","519119"
"Lisbon","Portugal","517802"
"Lipetsk","Russia","515655"
"Nuernberg","Germany","515543"
"Hannover","Germany","515140"
"Penza","Russia","512602"
"Naberezhnyye Chelny","Russia","509870"
"Leicester","United Kingdom","508916"
"Leipzig","Germany","504971"
"Kalininskiy","Russia","504641"
"Duisburg","Germany","504358"
"Astrakhan","Russia","502533"
"Makhachkala","Russia","497959"
"Dresden","Germany","486854"
"Tomsk","Russia","485519"
"Mykolayiv","Ukraine","483186"
"Homyel'","Belarus","480951"
"Kemerovo","Russia","477090"
"Skopje","North Macedonia","474889"
"The Hague","Netherlands","474292"
"Lyon","France","472317"
"Tula","Russia","468825"
"Edinburgh","United Kingdom","464990"
"Sevastopol","Ukraine","464349"
"Gdansk","Poland","461865"
"Antwerpen","Belgium","459805"
"Kirov","Russia","457383"
"Leeds","United Kingdom","455123"
"Luhansk","Ukraine","452000"
"Cardiff","United Kingdom","447287"
"Cheboksary","Russia","446781"
"Murcia","Spain","436870"
"Kaliningrad","Russia","434954"
"Toulouse","France","433055"
"Mariupol","Ukraine","431859"
"Bryansk","Russia","427236"
"Bratislava","Slovakia","423737"
"Ivanovo","Russia","420839"
"Magnitogorsk","Russia","413351"
"Wandsbek","Germany","411422"
"Kursk","Russia","409431"
"Szczecin","Poland","407811"
"Palma","Spain","401270"
"Tver","Russia","400212"
"Manchester","United Kingdom","395515"
"Tallinn","Estonia","394024"
"Bochum","Germany","385729"
"Sector 3","Romania","385439"
"Las Palmas de Gran Canaria","Spain","381847"
"Nizhny Tagil","Russia","381116"
"Bochum-Hordel","Germany","380000"
"Makiivka","Ukraine","376610"
"Tirana","Albania","374801"
"Kaunas","Lithuania","374643"
"Stoke-on-Trent","United Kingdom","372775"
"Vinnytsya","Ukraine","369839"
"Brno","Czech Republic","369559"
"Mahilyow","Belarus","369200"
"Sector 6","Romania","367760"
"Bydgoszcz","Poland","366452"
"Bologna","Italy","366133"
"Stavropol'","Russia","363064"
"Wuppertal","Germany","360797"
"Ulan-Ude","Russia","360278"
"Lublin","Poland","360044"
"Coventry","United Kingdom","359262"
"Arkhangel'sk","Russia","356051"
"Bilbao","Spain","354860"
"Thessaloniki","Greece","354290"
"Florence","Italy","349296"
"Sector 2","Romania","345370"
"Belgorod","Russia","345289"
"Kurgan","Russia","343129"
"Vitebsk","Belarus","342700"
"Zurich","Switzerland","341730"
"Plovdiv","Bulgaria","340494"
"Kaluga","Russia","338978"
"Nice","France","338620"
"Krasnogvargeisky","Russia","337091"
"Simferopol","Ukraine","336460"
"Sunderland","United Kingdom","335415"
"Alicante","Spain","334757"
"Bielefeld","Germany","331906"
"Bonn","Germany","330579"
"Brent","United Kingdom","329100"
"Cordoba","Spain","328428"
"Sochi","Russia","327608"
"Birkenhead","United Kingdom","325264"
"Orel","Russia","324200"
"Volzhskiy","Russia","323293"
"Nottingham","United Kingdom","321500"
"Smolensk","Russia","320991"
"Murmansk","Russia","319263"
"Islington","United Kingdom","319143"
"Reading","United Kingdom","318014"
"Iasi","Romania","318012"
"Valladolid","Spain","317864"
"Vladikavkaz","Russia","317370"
"Hrodna","Belarus","317365"
"Katowice","Poland","317316"
"Cluj-Napoca","Romania","316748"
"Cherepovets","Russia","315738"
"Timisoara","Romania","315053"
"Vologda","Russia","314900"
"Kingston upon Hull","United Kingdom","314018"
"Preston","United Kingdom","313332"
"Ostrava","Czech Republic","313088"
"Varna","Bulgaria","312770"
"Vladimir","Russia","310024"
"Chita","Russia","308500"
"Mannheim","Germany","307960"
"Chernihiv","Ukraine","307684"
"Newport","United Kingdom","306844"
"Craiova","Romania","304142"
"Constanta","Romania","303399"
"Saransk","Russia","303394"
"Malmoe","Sweden","301706"
"Brest","Belarus","300715"
"Surgut","Russia","300367"
"Swansea","United Kingdom","300352"
"Bradford","United Kingdom","299310"
"Vigo","Spain","297332"
"Southend-on-Sea","United Kingdom","295310"
"Sumy","Ukraine","294456"
"Galati","Romania","294087"
"Bialystok","Poland","291855"
"Tambov","Russia","290933"
"Catania","Italy","290927"
"Utrecht","Netherlands","290529"
"Kherson","Ukraine","289096"
"Poltava","Ukraine","288324"
"Sector 4","Romania","287828"
"Marienthal","Germany","287101"
